,Patent,primary_subclass,Citation,GDate
6414352,4949287,246,4737822,1990-08-14
6414534,4949260,264,4505602,1990-08-14
6414535,4949260,264,4698758,1990-08-14
6414536,4949260,264,4737040,1990-08-14
6414537,4949260,264,4879653,1990-08-14
6428471,4947346,707,4523298,1990-08-07
6428472,4947346,707,4648062,1990-08-07
6428473,4947346,707,4789962,1990-08-07
6454791,4943936,234,4584349,1990-07-24
6454792,4943936,234,4627019,1990-07-24
6454793,4943936,234,4658351,1990-07-24
6477057,4940971,790,4509043,1990-07-10
6477058,4940971,790,4742474,1990-07-10
6477059,4940971,790,4766431,1990-07-10
6477060,4940971,790,4823119,1990-07-10
6477061,4940971,790,4857905,1990-07-10
6487140,4939672,856,4499597,1990-07-03
6487141,4939672,856,4570181,1990-07-03
6487142,4939672,856,4752773,1990-07-03
6487143,4939672,856,4769636,1990-07-03
6487144,4939672,856,4769762,1990-07-03
6501864,4937745,264,4454417,1990-06-26
6501865,4937745,264,4484305,1990-06-26
6501866,4937745,264,4490607,1990-06-26
6501867,4937745,264,4545023,1990-06-26
6501868,4937745,264,4698758,1990-06-26
6501869,4937745,264,4839634,1990-06-26
6531581,4933896,246,4136395,1990-06-12
6531582,4933896,246,4481607,1990-06-12
6531583,4933896,246,4651300,1990-06-12
6531584,4933896,246,4671684,1990-06-12
6531585,4933896,246,4751674,1990-06-12
6531586,4933896,246,4758977,1990-06-12
6531587,4933896,246,4775251,1990-06-12
6531588,4933896,246,4787059,1990-06-12
6531728,4933880,209,3930237,1990-06-12
6531729,4933880,209,4608662,1990-06-12
6531730,4933880,209,4723209,1990-06-12
6531742,4933877,807,4412296,1990-06-12
6531743,4933877,807,4694288,1990-06-12
6531744,4933877,807,4700320,1990-06-12
6531745,4933877,807,4710761,1990-06-12
6531746,4933877,807,4769762,1990-06-12
6531747,4933877,807,4777485,1990-06-12
6531748,4933877,807,4780710,1990-06-12
6531749,4933877,807,4783648,1990-06-12
6531750,4933877,807,4806919,1990-06-12
6531751,4933877,807,4814884,1990-06-12
6531752,4933877,807,4819189,1990-06-12
6545389,4931987,208,3872460,1990-06-05
6545390,4931987,208,4056821,1990-06-05
6545391,4931987,208,4125868,1990-06-05
6545392,4931987,208,4160981,1990-06-05
6545393,4931987,208,4506343,1990-06-05
6545394,4931987,208,4686649,1990-06-05
6545395,4931987,208,4736308,1990-06-05
6573498,4928247,853,4542376,1990-05-22
6573499,4928247,853,4555775,1990-05-22
6573500,4928247,853,4590585,1990-05-22
6573501,4928247,853,4631090,1990-05-22
6573502,4928247,853,4642790,1990-05-22
6573503,4928247,853,4694404,1990-05-22
6573504,4928247,853,4700320,1990-05-22
6573505,4928247,853,4704697,1990-05-22
6573506,4928247,853,4731606,1990-05-22
6573507,4928247,853,4736309,1990-05-22
6573508,4928247,853,4737916,1990-05-22
6573509,4928247,853,4761642,1990-05-22
6573510,4928247,853,4764867,1990-05-22
6573541,4928243,209,3430207,1990-05-22
6573542,4928243,209,3449721,1990-05-22
6573543,4928243,209,3544972,1990-05-22
6573544,4928243,209,3821731,1990-05-22
6573545,4928243,209,3870922,1990-05-22
6573546,4928243,209,3895357,1990-05-22
6573547,4928243,209,3906480,1990-05-22
6573548,4928243,209,3973245,1990-05-22
6573549,4928243,209,4054885,1990-05-22
6573550,4928243,209,4149164,1990-05-22
6573551,4928243,209,4149165,1990-05-22
6573552,4928243,209,4254467,1990-05-22
6573553,4928243,209,4254468,1990-05-22
6573554,4928243,209,4408200,1990-05-22
6573555,4928243,209,4458330,1990-05-22
6573556,4928243,209,4492956,1990-05-22
6573557,4928243,209,4496976,1990-05-22
6573558,4928243,209,4510568,1990-05-22
6573559,4928243,209,4516266,1990-05-22
6573560,4928243,209,4529978,1990-05-22
6573561,4928243,209,4533910,1990-05-22
6573562,4928243,209,4549275,1990-05-22
6573563,4928243,209,4555700,1990-05-22
6573564,4928243,209,4555763,1990-05-22
6573565,4928243,209,4587633,1990-05-22
6573566,4928243,209,4607340,1990-05-22
6573567,4928243,209,4616327,1990-05-22
6573568,4928243,209,4625288,1990-05-22
6573569,4928243,209,4631532,1990-05-22
6573570,4928243,209,4646134,1990-05-22
6573571,4928243,209,4648049,1990-05-22
6573572,4928243,209,4660029,1990-05-22
6573573,4928243,209,4665492,1990-05-22
6573574,4928243,209,4722064,1990-05-22
6573575,4928243,209,4740904,1990-05-22
6587855,4926349,744,4275449,1990-05-15
6587856,4926349,744,4539585,1990-05-15
6587857,4926349,744,4549275,1990-05-15
6587858,4926349,744,4551810,1990-05-15
6587859,4926349,744,4656602,1990-05-15
6587860,4926349,744,4688181,1990-05-15
6587861,4926349,744,4731743,1990-05-15
6587862,4926349,744,4764867,1990-05-15
6587863,4926349,744,4794386,1990-05-15
6602108,4924433,201,4491933,1990-05-08
6602109,4924433,201,4495490,1990-05-08
6602110,4924433,201,4686649,1990-05-08
6602111,4924433,201,4742485,1990-05-08
6602112,4924433,201,4806916,1990-05-08
6602289,4924409,210,3911404,1990-05-08
6602290,4924409,210,3930237,1990-05-08
6602291,4924409,210,3974493,1990-05-08
6602292,4924409,210,4040024,1990-05-08
6602293,4924409,210,4057849,1990-05-08
6602294,4924409,210,4131949,1990-05-08
6602295,4924409,210,4194197,1990-05-08
6602296,4924409,210,4195353,1990-05-08
6602297,4924409,210,4425629,1990-05-08
6602298,4924409,210,4445194,1990-05-08
6602299,4924409,210,4488254,1990-05-08
6632312,4920492,262,4270022,1990-04-24
6632313,4920492,262,4327421,1990-04-24
6632314,4920492,262,4379288,1990-04-24
6632315,4920492,262,4505602,1990-04-24
6632316,4920492,262,4602878,1990-04-24
6632317,4920492,262,4669901,1990-04-24
6632318,4920492,262,4684926,1990-04-24
6632319,4920492,262,4689743,1990-04-24
6633345,4920337,209,3879722,1990-04-24
6633346,4920337,209,4070710,1990-04-24
6633347,4920337,209,4201983,1990-04-24
6633348,4920337,209,4454592,1990-04-24
6633349,4920337,209,4464652,1990-04-24
6633350,4920337,209,4481603,1990-04-24
6633351,4920337,209,4509043,1990-04-24
6633352,4920337,209,4533910,1990-04-24
6633353,4920337,209,4542378,1990-04-24
6633354,4920337,209,4550315,1990-04-24
6633355,4920337,209,4555700,1990-04-24
6633356,4920337,209,4586035,1990-04-24
6633357,4920337,209,4688167,1990-04-24
6645794,4918648,259,3654611,1990-04-17
6645795,4918648,259,3810107,1990-04-17
6645796,4918648,259,3848232,1990-04-17
6645797,4918648,259,3980994,1990-04-17
6645798,4918648,259,4057849,1990-04-17
6645799,4918648,259,4075695,1990-04-17
6645800,4918648,259,4193112,1990-04-17
6645801,4918648,259,4195353,1990-04-17
6645802,4918648,259,4435777,1990-04-17
6645803,4918648,259,4454576,1990-04-17
6645804,4918648,259,4498147,1990-04-17
6645805,4918648,259,4513391,1990-04-17
6645806,4918648,259,4553860,1990-04-17
6645807,4918648,259,4651300,1990-04-17
6660288,4916656,210,4138719,1990-04-10
6675990,4914607,790,4542376,1990-04-03
6675991,4914607,790,4545070,1990-04-03
6675992,4914607,790,4598384,1990-04-03
6675993,4914607,790,4694288,1990-04-03
6675994,4914607,790,4710767,1990-04-03
6675995,4914607,790,4714918,1990-04-03
6676350,4914568,763,4064394,1990-04-03
6676351,4914568,763,4315315,1990-04-03
6676352,4914568,763,4455619,1990-04-03
6676353,4914568,763,4546435,1990-04-03
6676354,4914568,763,4656603,1990-04-03
6676355,4914568,763,4663704,1990-04-03
6676356,4914568,763,4677587,1990-04-03
6676357,4914568,763,4695968,1990-04-03
6676358,4914568,763,4813013,1990-04-03
6690256,4912669,219,4078249,1990-03-27
6690257,4912669,219,4435778,1990-03-27
6690258,4912669,219,4538225,1990-03-27
6690259,4912669,219,4608662,1990-03-27
6690260,4912669,219,4633430,1990-03-27
6690368,4912657,853,4275449,1990-03-27
6690369,4912657,853,4475104,1990-03-27
6690370,4912657,853,4539585,1990-03-27
6690371,4912657,853,4549275,1990-03-27
6690372,4912657,853,4551810,1990-03-27
6690373,4912657,853,4686580,1990-03-27
6730323,4907193,235,3557927,1990-03-06
6730324,4907193,235,3648271,1990-03-06
6730325,4907193,235,3674125,1990-03-06
6730326,4907193,235,3893100,1990-03-06
6730327,4907193,235,3999168,1990-03-06
6730328,4907193,235,4000495,1990-03-06
6730329,4907193,235,4010837,1990-03-06
6730330,4907193,235,4138719,1990-03-06
6730331,4907193,235,4146874,1990-03-06
6730332,4907193,235,4149145,1990-03-06
6730333,4907193,235,4174174,1990-03-06
6730334,4907193,235,4187031,1990-03-06
6730335,4907193,235,4200369,1990-03-06
6730336,4907193,235,4225249,1990-03-06
6730337,4907193,235,4240119,1990-03-06
6730338,4907193,235,4254409,1990-03-06
6730339,4907193,235,4264226,1990-03-06
6730340,4907193,235,4286329,1990-03-06
6730341,4907193,235,4310840,1990-03-06
6730342,4907193,235,4326813,1990-03-06
6730343,4907193,235,4342096,1990-03-06
6730344,4907193,235,4348738,1990-03-06
6730345,4907193,235,4371274,1990-03-06
6730346,4907193,235,4372696,1990-03-06
6730347,4907193,235,4374625,1990-03-06
6730348,4907193,235,4392197,1990-03-06
6730349,4907193,235,4396992,1990-03-06
6730350,4907193,235,4447888,1990-03-06
6730351,4907193,235,4451899,1990-03-06
6730352,4907193,235,4459049,1990-03-06
6730353,4907193,235,4464070,1990-03-06
6730354,4907193,235,4470042,1990-03-06
6730355,4907193,235,4500216,1990-03-06
6730518,4907173,255,4355913,1990-03-06
6730519,4907173,255,4663731,1990-03-06
6730520,4907173,255,4674065,1990-03-06
6730521,4907173,255,4742485,1990-03-06
6730522,4907173,255,4786894,1990-03-06
6730523,4907173,255,4789255,1990-03-06
6730524,4907173,255,4804284,1990-03-06
6745846,4905185,212,4706205,1990-02-27
6745847,4905185,212,4723209,1990-02-27
6745848,4905185,212,4723210,1990-02-27
6745849,4905185,212,4723211,1990-02-27
6745850,4905185,212,4747042,1990-02-27
6760253,4903233,212,3618032,1990-02-20
6760254,4903233,212,4047243,1990-02-20
6760255,4903233,212,4086660,1990-02-20
6760256,4903233,212,4240075,1990-02-20
6760257,4903233,212,4334286,1990-02-20
6760258,4903233,212,4412294,1990-02-20
6760259,4903233,212,4506343,1990-02-20
6760260,4903233,212,4688167,1990-02-20
6760261,4903233,212,4739477,1990-02-20
6760375,4903218,759,4550386,1990-02-20
6760376,4903218,759,4591975,1990-02-20
6760377,4903218,759,4598384,1990-02-20
6760378,4903218,759,4709328,1990-02-20
6760446,4903206,234,4328561,1990-02-20
6774932,4901250,848,4698625,1990-02-13
6774933,4901250,848,4700182,1990-02-13
6774934,4901250,848,4731609,1990-02-13
6774935,4901250,848,4761643,1990-02-13
6774945,4901248,210,4054951,1990-02-13
6774946,4901248,210,4458333,1990-02-13
6774947,4901248,210,4467363,1990-02-13
6774948,4901248,210,4597057,1990-02-13
6774949,4901248,210,4641263,1990-02-13
6774950,4901248,210,4701745,1990-02-13
6775207,4901221,771,4064394,1990-02-13
6775208,4901221,771,4315315,1990-02-13
6775209,4901221,771,4455619,1990-02-13
6775210,4901221,771,4546435,1990-02-13
6775211,4901221,771,4656603,1990-02-13
6775212,4901221,771,4663704,1990-02-13
6775213,4901221,771,4677587,1990-02-13
6775214,4901221,771,4695968,1990-02-13
6775215,4901221,771,4725970,1990-02-13
6775216,4901221,771,4813013,1990-02-13
6789561,4899276,705,4291198,1990-02-06
6789562,4899276,705,4310839,1990-02-06
6789563,4899276,705,4481603,1990-02-06
6789564,4899276,705,4555775,1990-02-06
6789565,4899276,705,4556954,1990-02-06
6789566,4899276,705,4559533,1990-02-06
6811853,4896291,841,4692858,1990-01-23
6811854,4896291,841,4694286,1990-01-23
6811855,4896291,841,4739314,1990-01-23
6811856,4896291,841,4772882,1990-01-23
6822734,4894798,200,3781856,1990-01-16
6822735,4894798,200,4086660,1990-01-16
6822736,4894798,200,4136395,1990-01-16
6822737,4894798,200,4205922,1990-01-16
6822738,4894798,200,4327421,1990-01-16
6822739,4894798,200,4334792,1990-01-16
6822740,4894798,200,4382702,1990-01-16
6822741,4894798,200,4456969,1990-01-16
6822742,4894798,200,4456973,1990-01-16
6822743,4894798,200,4495490,1990-01-16
6822744,4894798,200,4541746,1990-01-16
6822745,4894798,200,4553860,1990-01-16
6822746,4894798,200,4564301,1990-01-16
6822747,4894798,200,4564304,1990-01-16
6822748,4894798,200,4671684,1990-01-16
6822749,4894798,200,4672571,1990-01-16
6822750,4894798,200,4831583,1990-01-16
6834480,4893238,236,4339806,1990-01-09
6834481,4893238,236,4396992,1990-01-09
6834482,4893238,236,4459049,1990-01-09
6834483,4893238,236,4464070,1990-01-09
6834484,4893238,236,4684926,1990-01-09
6834485,4893238,236,4760528,1990-01-09
6845481,4891786,257,4310254,1990-01-02
6845482,4891786,257,4310839,1990-01-02
6845483,4891786,257,4333097,1990-01-02
6845484,4891786,257,4396992,1990-01-02
6845485,4891786,257,4417239,1990-01-02
6845486,4891786,257,4459049,1990-01-02
6845487,4891786,257,4464070,1990-01-02
6845488,4891786,257,4490056,1990-01-02
6845489,4891786,257,4498073,1990-01-02
6845490,4891786,257,4559598,1990-01-02
6845491,4891786,257,4564301,1990-01-02
6845492,4891786,257,4566065,1990-01-02
6845493,4891786,257,4650349,1990-01-02
6845494,4891786,257,4655621,1990-01-02
6845495,4891786,257,4680572,1990-01-02
6845585,4891771,217,4575813,1990-01-02
6845586,4891771,217,4608664,1990-01-02
6845587,4891771,217,4710886,1990-01-02
6845588,4891771,217,4723210,1990-01-02
6845589,4891771,217,4723211,1990-01-02
6857598,5077678,806,4257044,1991-12-31
6857599,5077678,806,4412296,1991-12-31
6857600,5077678,806,4481594,1991-12-31
6857601,5077678,806,4495491,1991-12-31
6857602,5077678,806,4598384,1991-12-31
6857603,5077678,806,4779210,1991-12-31
6873036,5075675,794,4070710,1991-12-24
6873037,5075675,794,4533910,1991-12-24
6873038,5075675,794,4542376,1991-12-24
6873039,5075675,794,4555775,1991-12-24
6873040,5075675,794,4642790,1991-12-24
6873041,5075675,794,4651146,1991-12-24
6873042,5075675,794,4670752,1991-12-24
6873043,5075675,794,4688167,1991-12-24
6873044,5075675,794,4694288,1991-12-24
6873045,5075675,794,4731745,1991-12-24
6873046,5075675,794,4736309,1991-12-24
6873047,5075675,794,4761642,1991-12-24
6873048,5075675,794,4780710,1991-12-24
6873049,5075675,794,4783648,1991-12-24
6873050,5075675,794,4806919,1991-12-24
6873051,5075675,794,4819189,1991-12-24
6873052,5075675,794,4829294,1991-12-24
6873053,5075675,794,4860218,1991-12-24
6873054,5075675,794,4890098,1991-12-24
6873055,5075675,794,4890257,1991-12-24
6873056,5075675,794,4954818,1991-12-24
6898026,5072412,804,4484302,1991-12-10
6898027,5072412,804,4542376,1991-12-10
6898028,5072412,804,4555775,1991-12-10
6898029,5072412,804,4574364,1991-12-10
6898030,5072412,804,4598384,1991-12-10
6898031,5072412,804,4658351,1991-12-10
6898032,5072412,804,4688167,1991-12-10
6898033,5072412,804,4692858,1991-12-10
6898034,5072412,804,4695966,1991-12-10
6898035,5072412,804,4713754,1991-12-10
6898036,5072412,804,4769636,1991-12-10
6898037,5072412,804,4783648,1991-12-10
6898038,5072412,804,4806919,1991-12-10
6898039,5072412,804,4807142,1991-12-10
6898040,5072412,804,4823108,1991-12-10
6898041,5072412,804,4885717,1991-12-10
6898042,5072412,804,4905168,1991-12-10
6898043,5072412,804,4914568,1991-12-10
6898044,5072412,804,4962475,1991-12-10
6912893,5070534,764,4439761,1991-12-03
6912894,5070534,764,4622546,1991-12-03
6912895,5070534,764,4656603,1991-12-03
6912896,5070534,764,4672575,1991-12-03
6912897,5070534,764,4686522,1991-12-03
6912898,5070534,764,4698625,1991-12-03
6912899,5070534,764,4710885,1991-12-03
6912900,5070534,764,4751674,1991-12-03
6912901,5070534,764,4786895,1991-12-03
6912902,5070534,764,4809201,1991-12-03
6912903,5070534,764,4811240,1991-12-03
6912904,5070534,764,4813013,1991-12-03
6912905,5070534,764,4829446,1991-12-03
6912906,5070534,764,4849911,1991-12-03
6912907,5070534,764,4862390,1991-12-03
6912908,5070534,764,4864520,1991-12-03
6912909,5070534,764,4868766,1991-12-03
6912910,5070534,764,4901250,1991-12-03
6912911,5070534,764,4903012,1991-12-03
6912912,5070534,764,4924409,1991-12-03
6912913,5070534,764,4931957,1991-12-03
6913264,5070478,210,4773009,1991-12-03
6913265,5070478,210,4821230,1991-12-03
6913266,5070478,210,4864502,1991-12-03
6913267,5070478,210,4868750,1991-12-03
6913268,5070478,210,4887920,1991-12-03
6913269,5070478,210,4958285,1991-12-03
6913270,5070478,210,4964030,1991-12-03
6925957,5068809,201,4608664,1991-11-26
6925958,5068809,201,4723209,1991-11-26
6925959,5068809,201,4755955,1991-11-26
6925960,5068809,201,4891770,1991-11-26
6925961,5068809,201,4974174,1991-11-26
6938866,5067070,236,4270865,1991-11-19
6938867,5067070,236,4384329,1991-11-19
6938868,5067070,236,4773039,1991-11-19
6952267,5065358,201,4138719,1991-11-12
6952268,5065358,201,4398246,1991-11-12
6952269,5065358,201,4651288,1991-11-12
6952270,5065358,201,4686649,1991-11-12
6952271,5065358,201,4687353,1991-11-12
6952272,5065358,201,4889439,1991-11-12
6952365,5065347,835,4429385,1991-11-12
6952366,5065347,835,4531186,1991-11-12
6952367,5065347,835,4601003,1991-11-12
6952368,5065347,835,4642790,1991-11-12
6952369,5065347,835,4646250,1991-11-12
6952370,5065347,835,4712191,1991-11-12
6952371,5065347,835,4761642,1991-11-12
6952372,5065347,835,4772882,1991-11-12
6952373,5065347,835,4813013,1991-11-12
6952374,5065347,835,4819189,1991-11-12
6952375,5065347,835,4845644,1991-11-12
6952376,5065347,835,4852019,1991-11-12
6952377,5065347,835,4860204,1991-11-12
6952378,5065347,835,4862390,1991-11-12
6952379,5065347,835,4866638,1991-11-12
6952380,5065347,835,4868766,1991-11-12
6952384,5065345,202,4032897,1991-11-12
6952385,5065345,202,4333152,1991-11-12
6952386,5065345,202,4671772,1991-11-12
6952387,5065345,202,4685003,1991-11-12
6952388,5065345,202,4698770,1991-11-12
6952389,5065345,202,4766581,1991-11-12
6952390,5065345,202,4794465,1991-11-12
6952391,5065345,202,4804328,1991-11-12
6966868,5063495,205,4503499,1991-11-05
6966869,5063495,205,4532588,1991-11-05
6966870,5063495,205,4633430,1991-11-05
6966871,5063495,205,4813010,1991-11-05
6966872,5063495,205,4815029,1991-11-05
6966873,5063495,205,4827447,1991-11-05
6977775,5062060,800,3534338,1991-10-29
6977776,5062060,800,4555775,1991-10-29
6977777,5062060,800,4587633,1991-10-29
6977778,5062060,800,4598384,1991-10-29
6977779,5062060,800,4642790,1991-10-29
6977780,5062060,800,4694288,1991-10-29
6977781,5062060,800,4694396,1991-10-29
6977782,5062060,800,4714918,1991-10-29
6978752,5061919,806,4642790,1991-10-29
6978753,5061919,806,4663617,1991-10-29
6978754,5061919,806,4769762,1991-10-29
6978755,5061919,806,4794386,1991-10-29
6978756,5061919,806,4954819,1991-10-29
6978757,5061919,806,4959803,1991-10-29
6992221,5060184,246,3810107,1991-10-22
6992222,5060184,246,4655620,1991-10-22
6992223,5060184,246,4671684,1991-10-22
6992224,5060184,246,4689768,1991-10-22
6992225,5060184,246,4775251,1991-10-22
6992226,5060184,246,4783761,1991-10-22
6992227,5060184,246,4818131,1991-10-22
6992228,5060184,246,4830521,1991-10-22
6992324,5060170,788,4598384,1991-10-22
6992325,5060170,788,4651146,1991-10-22
6992326,5060170,788,4653020,1991-10-22
6992327,5060170,788,4663617,1991-10-22
6992328,5060170,788,4698779,1991-10-22
6992329,5060170,788,4731606,1991-10-22
6992330,5060170,788,4783648,1991-10-22
6992331,5060170,788,4789962,1991-10-22
6992332,5060170,788,4794386,1991-10-22
6992333,5060170,788,4823108,1991-10-22
6992334,5060170,788,4823303,1991-10-22
6992335,5060170,788,4961070,1991-10-22
6992336,5060170,788,5001697,1991-10-22
6992464,5060154,236,3558820,1991-10-22
6992465,5060154,236,4671684,1991-10-22
6992466,5060154,236,4783758,1991-10-22
6992467,5060154,236,4797855,1991-10-22
6992468,5060154,236,4810121,1991-10-22
6992469,5060154,236,4830521,1991-10-22
6992680,5060135,769,3703936,1991-10-22
6992681,5060135,769,4177354,1991-10-22
6992682,5060135,769,4387395,1991-10-22
6992683,5060135,769,4424575,1991-10-22
6992684,5060135,769,4430526,1991-10-22
6992685,5060135,769,4475239,1991-10-22
6992686,5060135,769,4488000,1991-10-22
6992687,5060135,769,4514818,1991-10-22
6992688,5060135,769,4516156,1991-10-22
6992689,5060135,769,4552991,1991-10-22
6992690,5060135,769,4562304,1991-10-22
6992691,5060135,769,4570033,1991-10-22
6992692,5060135,769,4575580,1991-10-22
6992693,5060135,769,4577057,1991-10-22
6992694,5060135,769,4580007,1991-10-22
6992695,5060135,769,4582955,1991-10-22
6992696,5060135,769,4633416,1991-10-22
6992697,5060135,769,4633436,1991-10-22
6992698,5060135,769,4638119,1991-10-22
6992699,5060135,769,4644102,1991-10-22
6992700,5060135,769,4649380,1991-10-22
6992701,5060135,769,4675665,1991-10-22
6992702,5060135,769,4677428,1991-10-22
6992703,5060135,769,4688031,1991-10-22
6992704,5060135,769,4714918,1991-10-22
6992705,5060135,769,4723836,1991-10-22
6992706,5060135,769,4734619,1991-10-22
6992707,5060135,769,4742473,1991-10-22
6992708,5060135,769,4755809,1991-10-22
6992709,5060135,769,4785564,1991-10-22
7008631,5058035,201,4170886,1991-10-15
7008632,5058035,201,4380796,1991-10-15
7008633,5058035,201,4433377,1991-10-15
7008634,5058035,201,4476542,1991-10-15
7008635,5058035,201,4497040,1991-10-15
7008636,5058035,201,4520455,1991-10-15
7008637,5058035,201,4573115,1991-10-15
7008638,5058035,201,4628457,1991-10-15
7010112,5057825,806,4618858,1991-10-15
7010113,5057825,806,4700320,1991-10-15
7010114,5057825,806,4710767,1991-10-15
7024406,5056059,828,3995259,1991-10-08
7024407,5056059,828,4028695,1991-10-08
7024408,5056059,828,4425627,1991-10-08
7024409,5056059,828,4454576,1991-10-08
7024410,5056059,828,4458311,1991-10-08
7024411,5056059,828,4460974,1991-10-08
7024412,5056059,828,4484304,1991-10-08
7024413,5056059,828,4587630,1991-10-08
7024414,5056059,828,4587634,1991-10-08
7024415,5056059,828,4591974,1991-10-08
7024416,5056059,828,4608662,1991-10-08
7024417,5056059,828,4656603,1991-10-08
7024418,5056059,828,4680729,1991-10-08
7024419,5056059,828,4782463,1991-10-08
7024420,5056059,828,4789962,1991-10-08
7024421,5056059,828,4804950,1991-10-08
7024422,5056059,828,4817050,1991-10-08
7024423,5056059,828,4835372,1991-10-08
7024424,5056059,828,4869266,1991-10-08
7024425,5056059,828,4870561,1991-10-08
7024426,5056059,828,4884217,1991-10-08
7024933,5055998,201,4633430,1991-10-08
7024934,5055998,201,4661904,1991-10-08
7024935,5055998,201,4713754,1991-10-08
7040547,5053988,273,3610902,1991-10-01
7040548,5053988,273,4290114,1991-10-01
7040549,5053988,273,4476541,1991-10-01
7040550,5053988,273,4521849,1991-10-01
7040551,5053988,273,4547860,1991-10-01
7040552,5053988,273,4589063,1991-10-01
7040553,5053988,273,4730248,1991-10-01
7040554,5053988,273,4742481,1991-10-01
7056688,5051930,207,4503499,1991-09-24
7056689,5051930,207,4703321,1991-09-24
7056690,5051930,207,4815029,1991-09-24
7070954,5050121,201,4545032,1991-09-17
7070955,5050121,201,4661073,1991-09-17
7070956,5050121,201,4864503,1991-09-17
7070957,5050121,201,4866445,1991-09-17
7070958,5050121,201,4868750,1991-09-17
7071083,5050105,854,4435777,1991-09-17
7071084,5050105,854,4555775,1991-09-17
7071085,5050105,854,4556954,1991-09-17
7071086,5050105,854,4586158,1991-09-17
7071087,5050105,854,4811240,1991-09-17
7087666,5047960,202,4056850,1991-09-10
7087667,5047960,202,4124838,1991-09-10
7087668,5047960,202,4357672,1991-09-10
7087669,5047960,202,4498145,1991-09-10
7087670,5047960,202,4539638,1991-09-10
7087671,5047960,202,4542477,1991-09-10
7087672,5047960,202,4555699,1991-09-10
7087673,5047960,202,4564928,1991-09-10
7087674,5047960,202,4604686,1991-09-10
7087675,5047960,202,4638312,1991-09-10
7087676,5047959,853,4027246,1991-09-10
7087677,5047959,853,4068300,1991-09-10
7087678,5047959,853,4322157,1991-09-10
7087679,5047959,853,4383298,1991-09-10
7087680,5047959,853,4435777,1991-09-10
7087681,5047959,853,4435778,1991-09-10
7087682,5047959,853,4459663,1991-09-10
7087683,5047959,853,4459678,1991-09-10
7087684,5047959,853,4464719,1991-09-10
7087685,5047959,853,4500963,1991-09-10
7087686,5047959,853,4580228,1991-09-10
7087687,5047959,853,4581710,1991-09-10
7087688,5047959,853,4591983,1991-09-10
7087689,5047959,853,4593363,1991-09-10
7087690,5047959,853,4600995,1991-09-10
7087691,5047959,853,4615011,1991-09-10
7087692,5047959,853,4636966,1991-09-10
7087693,5047959,853,4646238,1991-09-10
7087694,5047959,853,4646250,1991-09-10
7087695,5047959,853,4648023,1991-09-10
7087696,5047959,853,4700318,1991-09-10
7087697,5047959,853,4764867,1991-09-10
7087698,5047959,853,4782463,1991-09-10
7102467,5046001,794,4555775,1991-09-03
7102468,5046001,794,4642790,1991-09-03
7102469,5046001,794,4648062,1991-09-03
7102470,5046001,794,4653020,1991-09-03
7102471,5046001,794,4712191,1991-09-03
7102472,5046001,794,4819189,1991-09-03
7102473,5046001,794,4829294,1991-09-03
7118212,5043936,223,3991405,1991-08-27
7118213,5043936,223,4139902,1991-08-27
7118214,5043936,223,4354765,1991-08-27
7118215,5043936,223,4491933,1991-08-27
7118216,5043936,223,4678351,1991-08-27
7118217,5043936,223,4782339,1991-08-27
7118218,5043936,223,4786894,1991-08-27
7118219,5043936,223,4859100,1991-08-27
7118220,5043936,223,4904099,1991-08-27
7118318,5043919,733,4119953,1991-08-27
7118319,5043919,733,4641263,1991-08-27
7118320,5043919,733,4642790,1991-08-27
7118321,5043919,733,4665501,1991-08-27
7118329,5043916,210,4012725,1991-08-27
7118330,5043916,210,4646081,1991-08-27
7118503,5043891,234,3715730,1991-08-27
7118504,5043891,234,3716840,1991-08-27
7118505,5043891,234,4286330,1991-08-27
7118506,5043891,234,4290114,1991-08-27
7118507,5043891,234,4599692,1991-08-27
7118508,5043891,234,4649515,1991-08-27
7132683,5042006,707,4947346,1991-08-20
7132973,5041967,825,4520457,1991-08-20
7132974,5041967,825,4611306,1991-08-20
7132975,5041967,825,4658359,1991-08-20
7132976,5041967,825,4823283,1991-08-20
7132977,5041967,825,4829423,1991-08-20
7132978,5041967,825,4843538,1991-08-20
7146876,5040142,203,4404649,1991-08-13
7146877,5040142,203,4417322,1991-08-13
7146878,5040142,203,4498147,1991-08-13
7146879,5040142,203,4503499,1991-08-13
7146880,5040142,203,4513391,1991-08-13
7146881,5040142,203,4532588,1991-08-13
7146882,5040142,203,4641250,1991-08-13
7146883,5040142,203,4648061,1991-08-13
7146884,5040142,203,4658351,1991-08-13
7146885,5040142,203,4754428,1991-08-13
7146886,5040142,203,4786896,1991-08-13
7146887,5040142,203,4820167,1991-08-13
7146955,5040132,235,4410961,1991-08-13
7146956,5040132,235,4420819,1991-08-13
7146957,5040132,235,4430716,1991-08-13
7146958,5040132,235,4481587,1991-08-13
7146959,5040132,235,4574352,1991-08-13
7146960,5040132,235,4713761,1991-08-13
7146961,5040132,235,4797832,1991-08-13
7146962,5040132,235,4839813,1991-08-13
7146963,5040132,235,4941091,1991-08-13
7146964,5040132,235,4956782,1991-08-13
7146965,5040131,810,4419756,1991-08-13
7146966,5040131,810,4648062,1991-08-13
7146967,5040131,810,4653090,1991-08-13
7146968,5040131,810,4688195,1991-08-13
7146969,5040131,810,4835735,1991-08-13
7146970,5040131,810,4859187,1991-08-13
7146986,5040129,210,3973245,1991-08-13
