,0
532,5001697
533,5001469
534,4996640
535,4994968
536,4992974
537,4992972
538,4992954
539,4991118
540,4987550
541,4985697
542,4984179
543,4984162
544,4984152
545,4982344
546,5175814
547,5175813
548,5175812
549,5175810
550,5175803
551,5173854
552,5173853
553,5170467
554,5170466
555,5168554
556,5168269
557,5167017
558,5167016
559,5165015
560,5165012
561,5164900
562,5164713
563,5163130
564,5162993
565,5159669
566,5159667
567,5159324
568,5157768
569,5157767
570,5157764
571,5157763
572,5155848
573,5155806
574,5153831
575,5151975
576,5151687
577,5150460
578,5148522
579,5148520
580,5148367
581,5148366
582,5148154
583,5146592
584,5146562
585,5146556
586,5146555
587,5146553
588,5146552
589,5146212
590,5146211
591,5146210
592,5144693
593,5144555
594,5142678
595,5142669
596,5142662
597,5142620
598,5142619
599,5142618
600,5140678
601,5140677
602,5140676
603,5140521
604,5136690
605,5133070
606,5133052
607,5133051
608,5131090
609,5130924
610,5129057
611,5129056
612,5129055
613,5129054
614,5129053
615,5129052
616,5125071
617,5124942
618,5124691
619,5123088
620,5123087
621,5123086
622,5122972
623,5122953
624,5121499
625,5121484
626,5121478
627,5121477
628,5121475
629,5119491
630,5119476
631,5119475
632,5119474
633,5119327
634,5119296
635,5119079
636,5117372
637,5113492
638,5113341
639,5113340
640,5111409
641,5111408
642,5111397
643,5109482
644,5109352
645,5107443
646,5107423
647,5105381
648,5105355
649,5101375
650,5101365
651,5101364
652,5097418
653,5095448
654,5093901
655,5091878
656,5091868
657,5091866
658,5091720
659,5091717
660,5089990
661,5088052
662,5086497
663,5081699
664,5081449
665,5079724
666,5079723
667,5079702
668,5079700
669,5274779
670,5274758
671,5274757
672,5274755
673,5272769
674,5272628
675,5270927
676,5267155
677,5265202
678,5263174
679,5263134
680,5263133
681,5263132
682,5262948
683,5262760
684,5261112
685,5261045
686,5261044
687,5261043
688,5261042
689,5261040
690,5258910
691,5257351
692,5257186
693,5255363
694,5255358
695,5255356
696,5255355
697,5255189
698,5253337
699,5251294
700,5251293
701,5251292
702,5251291
703,5250929
704,5249296
705,5249265
706,5247611
707,5243697
708,5243696
709,5243518
710,5241656
711,5241655
712,5241624
713,5241474
714,5239665
715,5239466
716,5237654
717,5237653
718,5237652
719,5237651
720,5237648
721,5235679
722,5233687
723,5233686
724,5233685
725,5231698
726,5231579
727,5231578
728,5231577
729,5230063
730,5230062
731,5230040
732,5228123
733,5228122
734,5228121
735,5227771
736,5226118
737,5226117
738,5224209
739,5224038
740,5222211
741,5222210
742,5222209
743,5220675
744,5220649
745,5220625
746,5218539
747,5218538
748,5218536
749,5216413
750,5214757
751,5214756
752,5214755
753,5212771
754,5212770
755,5212638
756,5210824
757,5208910
758,5208907
759,5208906
760,5208905
761,5206931
762,5206929
763,5204968
764,5204947
765,5204946
766,5202961
767,5202828
768,5201034
769,5201033
770,5200893
771,5200892
772,5199104
773,5198802
774,5197124
775,5197123
776,5197122
777,5197121
778,5196837
779,5195180
780,5195178
781,5193147
782,5192943
783,5192942
784,5191646
785,5191645
786,5191644
787,5191643
788,5191525
789,5189732
790,5189731
791,5187797
792,5187776
793,5187775
794,5185858
795,5185857
796,5185699
797,5185698
798,5185597
799,5185596
800,5182796
801,5181273
802,5181162
803,5179718
804,5179700
805,5179657
806,5179656
807,5179655
808,5179654
809,5179653
810,5179652
811,5179650
812,5179649
813,5179646
814,5377358
815,5377355
816,5377330
817,5377319
818,5377318
819,5377317
820,5376945
821,5375201
822,5375200
823,5375199
824,5375198
825,5373309
826,5371848
827,5371847
828,5371846
829,5371845
830,5371844
831,5371676
832,5371675
833,5369743
834,5369742
835,5369704
836,5369573
837,5367633
838,5367627
839,5367626
840,5367625
841,5367624
842,5367623
843,5367622
844,5367621
845,5367619
846,5367618
847,5367454
848,5367453
849,5365434
850,5365360
851,5363507
852,5363483
853,5363482
854,5363481
855,5363480
856,5361361
857,5361336
858,5361204
859,5361081
860,5359712
861,5359711
862,5359708
863,5359707
864,5359347
865,5357603
866,5357431
867,5355480
868,5353401
869,5353400
870,5353399
871,5353398
872,5353397
873,5353222
874,5349658
875,5349648
876,5347629
877,5347628
878,5347627
879,5347626
880,5347625
881,5347623
882,5345553
